config,phase,base_model,swap_model,Cost,is_uniform,Cost (norm),U-Min ($),U-Min (norm),Max-Min ($),Max-Min (norm)
M3R1-M3R1-M3R1,P,m3,M3R1,0.023539040584415586,True,1.0,0.008266219155844157,0.36505838757898823,0.008266219155844157,0.36505838757898823
M1R1-M1R1-M1R1,T,m1,M1R1,0.000895487012987013,True,0.0,0.0,0.0,0.01055341883116883,0.46606725388213965
M1R1-M2R1-M1R1,T,m1,M2R1,0.005544050324675325,False,0.20529301185101206,0.0,0.0,0.01055341883116883,0.46606725388213965
M1R1-M2R2-M1R1,T,m1,M2R2,0.00371639448051948,False,0.12457883249791069,0.0,0.0,0.01055341883116883,0.46606725388213965
M1R1-M2R3-M1R1,T,m1,M2R3,0.007848748376623376,False,0.307074653353435,0.0,0.0,0.01055341883116883,0.46606725388213965
M1R1-M3R1-M1R1,T,m1,M3R1,0.011448905844155843,False,0.46606725388213965,0.0,0.0,0.01055341883116883,0.46606725388213965
M2R1-M1R1-M2R1,T,m2,M1R1,0.002203818181818182,False,0.057779410140023656,0.004168592532467532,0.18409621614018323,0.011249512987012988,0.49680863701568123
M2R1-M2R1-M2R1,T,m2,M2R1,0.006372410714285714,True,0.2418756262802069,0.004168592532467532,0.18409621614018323,0.011249512987012988,0.49680863701568123
M2R1-M2R2-M2R1,T,m2,M2R2,0.00551738961038961,False,0.20411560326973022,0.004168592532467532,0.18409621614018323,0.011249512987012988,0.49680863701568123
M2R1-M2R3-M2R1,T,m2,M2R3,0.009723875000000002,False,0.389885269516732,0.004168592532467532,0.18409621614018323,0.011249512987012988,0.49680863701568123
M2R1-M3R1-M2R1,T,m2,M3R1,0.01345333116883117,False,0.5545880471557049,0.004168592532467532,0.18409621614018323,0.011249512987012988,0.49680863701568123
M3R1-M1R1-M3R1,T,m3,M1R1,0.011894196428571428,False,0.48573247926343527,0.011644844155844158,0.5142675207365648,0.011644844155844158,0.5142675207365648
M3R1-M2R1-M3R1,T,m3,M2R1,0.016169636363636365,False,0.6745473630041061,0.011644844155844158,0.5142675207365648,0.011644844155844158,0.5142675207365648
M3R1-M2R2-M3R1,T,m3,M2R2,0.012934532467532468,False,0.5316765063649821,0.011644844155844158,0.5142675207365648,0.011644844155844158,0.5142675207365648
M3R1-M2R3-M3R1,T,m3,M2R3,0.016565232142857142,False,0.6920179326288286,0.011644844155844158,0.5142675207365648,0.011644844155844158,0.5142675207365648
M3R1-M3R1-M3R1,T,m3,M3R1,0.023539040584415586,True,1.0,0.011644844155844158,0.5142675207365648,0.011644844155844158,0.5142675207365648
M1R1-M1R1-M1R1,F,m1,M1R1,0.000895487012987013,True,0.0,0.0,0.0,0.003983483766233767,0.17592131701713506
M1R1-M1R1-M2R1,F,m1,M2R1,0.0015575405844155843,False,0.02923805971267445,0.0,0.0,0.003983483766233767,0.17592131701713506
M1R1-M1R1-M2R2,F,m1,M2R2,0.0019980876623376625,False,0.04869379913680603,0.0,0.0,0.003983483766233767,0.17592131701713506
M1R1-M1R1-M2R3,F,m1,M2R3,0.0030829967532467533,False,0.09660629164761136,0.0,0.0,0.003983483766233767,0.17592131701713506
M1R1-M1R1-M3R1,F,m1,M3R1,0.00487897077922078,False,0.17592131701713506,0.0,0.0,0.003983483766233767,0.17592131701713506
M2R1-M2R1-M1R1,F,m2,M1R1,0.005628873376623377,False,0.2090390251117169,0.0007435373376623372,0.03283660116848999,0.004385857142857144,0.19369120350399321
M2R1-M2R1-M2R1,F,m2,M2R1,0.006372410714285714,True,0.2418756262802069,0.0007435373376623372,0.03283660116848999,0.004385857142857144,0.19369120350399321
M2R1-M2R1-M2R2,F,m2,M2R2,0.006912699675324675,False,0.26573623452504935,0.0007435373376623372,0.03283660116848999,0.004385857142857144,0.19369120350399321
M2R1-M2R1-M2R3,F,m2,M2R3,0.008170556818181818,False,0.3212865764309371,0.0007435373376623372,0.03283660116848999,0.004385857142857144,0.19369120350399321
M2R1-M2R1-M3R1,F,m2,M3R1,0.01001473051948052,False,0.4027302286157101,0.0007435373376623372,0.03283660116848999,0.004385857142857144,0.19369120350399321
M3R1-M3R1-M1R1,F,m3,M1R1,0.019092055194805196,False,0.80360920932386,0.00444698538961039,0.19639079067613996,0.00444698538961039,0.19639079067613996
